"","X","Full.text","Year","Publication"
"15961",15961," Back to school means resetting biological clocks to ensure sufficient sleep every night and a healthier, safer and more productive school year. The following tips come from the National Sleep Foundation and Gaylord Hospital in Wallingford, Conn.: Establish a regular bedtime and wakeup time. This schedule should be maintained on the weekends, though students can be permitted to sleep in one or two hours on weekend mornings if necessary. While individual sleep needs can vary, sleep experts recommend that elementary school students get 10 to 11 hours of shut-eye a night. Middle-school or junior-high students need 9 to 11 hours a night, and high school students need at least 8 hours of sleep a night. Remember to add 10 to 20 minutes to bedtime for falling asleep. For other sleep-related tips, visit the Web site of the National Sleep Foundation at www.sleepfoundation.org or Gaylord Hospital at www.gaylord.org/Pages/sleep.html. ",2001,"Chicago Tribune; Chicago, Ill."
"16290",16290," 愼㸰 Here is some advice for staying alert long after April 7, the day clocks spring forward one hour and most Americans lose an hour of sleep. ""if you're young, sleep an hour later on Sunday; if you're older, go to bed an hour early,"" suggests William C. Dement, director of Stanford (Calif.) University's Sleep Disorders Center and professor of psychiatry and behavioral sciences. He is quick to point out that, for the 60,000,000 Americans who suffer from sleep debt, daylight-saving time isn't the culprit. ""If you're well rested, losing that one hour of sleep when daylight-saving time begins won't make a major difference. Don't worry about it,"" he maintains. However, most people incur a sleep debt because they don't get enough sleep over time, Dement says. ""A debt builds up if you sleep less than your personal need-from six to 10 hours a day, depending on individual variation-over the course of many nights. The good news is that you can repay the debt without interest. Someone who needs 10 hours of sleep could pay back a 10-hour debt over 10 days by sleeping one extra hour each night. You can catch up faster-for example, repaying six hours by sleeping 15 hours-though only actual sleep counts. Lying in bed and staring at the ceiling won't help repay the debt. 'To make the most of the time in bed, we recommend that older people go to bed early to pay back their debt or to make up for the hour on daylight-saving time. On the other hand, young people usually find it easier to sleep in later,"" Dement indicates. The reasons for the generation gap aren't clear, but research indicates that older people may react differently to darkness and light. 'The biological clock of older people tends to become set so that they feel sleepy sooner after dark than younger people,"" he suggests. Dement emphasizes that a single good night of sleep won't do much to help a seriously sleep-deprived person. A study conducted with long-distance truck drivers in the mid 1990s under simulated conditions showed that those who were seriously sleep-deprived were prone to doze off while driving even if they had eight hours of sleep three nights in succession before a long driving assignment. ""Their overall debt was too large to overcome in three nights."" How do you know when the debt is repaid? ""You'll feel it, Dement explains. ""You'll regain alertness and the feeling that extra sleep just won't make any difference anymore."" ",2002,"USA Today; Farmingdale"
"12708",12708," 愼㸰 Every Tuesday: Discoveries, breakthroughs and trends; See related stories: 06D One key to a good night's sleep, some researchers believe, is REM, or rapid eye movement sleep. REM sleep also is called paradoxial sleep because the brain is very active and more suggestive of being awake than being asleep, says sleep expert James Maas. During REM, when dreaming is most likely to occur, there is evidence that the brain stores some types of memory and learning. If you sleep a full eight hours, you have the best chance of getting four or five REM periods during the night. REM sleep occurs about every 90 minutes. As the night progresses, the REM periods get longer. The first REM period lasts about nine minutes; the second one, 20 minutes. The third period is about half an hour; the fourth, anywhere from one to two hours. To reach that long REM period, a person must sleep at least six to 61/2 hours a night, Maas says. Many researchers think it's the total length of time that matters, but Maas thinks that REM may make a big difference. ""We don't have conclusive evidence at this point, but it is probable that missing that long, last REM period can have detrimental effects on everything from daytime alertness to memory, concentration and even reaction time,"" he says. Illustration PHOTO, B/W, Jim Sanchez, Ithaca Journal, for USA TODAY ",1998,"USA TODAY; McLean, Va."
"15059",15059," Wake up, Orange County! We doze at the wheel. We feel drowsy at meetings or school lectures. We lack the Energizer Bunny pep. We can't concentrate without that jolt of java. Sunday is the end of daylight-saving time, the perfect opportunity for the sleep-deprived to get back on track, experts say. Enjoying that hour of sleep we ""gain"" when we set our clocks back 60 minutes can be the beginning of slumber overhaul, said Dr. Paul Selecky, medical director of the Sleep Disorders Center at Hoag Memorial Hospital Presbyterian in Newport Beach. But we need to follow through with concrete changes in how we approach slumber to truly overcome sleep debt. Lily Chao will be among those who are looking forward to the extra hour of shut-eye. Most mornings when most of us are still in dreamland, Chao, 33, is awake at 4 a.m. An hour later, she opens the doors of Donut Star in West Irvine where she is a sales manager. She tries to get to sleep by 9 p.m. But once or twice a week, Chao won't climb into bed until 11 p.m. because she has chores at home or is taking care of her 3-month-old daughter. On days when she is sleep-deprived, she naps for an hour, maybe two, when she can get it in the afternoon. ""I sleep in ev ery chance that I get."" That chance doesn't happen often enough, she said. She pays a price for sleeping in, though -- it's tough getting up the next morning when she returns to her 4 a.m. routine. Why is it so tough? Because the body clock has to constantly adjust and adapt when we change our sleeping patterns, Selecky said. And while most Americans' popular habit of sleeping in on weekends may seem like a temporary solution, it does not address the real problem -- the need to adopt consistent and solid sleeping habits, he said. To understand and change our sleep habits, we need to look at our attitudes toward sleep, he said. Here are our problems: We don't know the value of sleep. We don't know exactly how much sleep we need. We mistakenly think we can achieve more if we sleep less. Underestimating sleep ""There are three pillars of good health: proper nutrition, regular exercise and sufficient amounts of quality sleep,"" Selecky said. Many know this but continue to treat sleep like Rodney Dangerfield: getting ""no respect."" Sleep experts estimate that most American adults need a minimum of eight hours of sleep a night to function properly. Yet, a National Sleep Foundation poll found that one-third of Americans 18 years and older sleep 6.5 hours or less nightly during the work week. About 45 percent said they sleep less in order to accomplish more. Sleep is such a basic powerful need that our minds and bodies at times will override our decision to stay awake. ""The need to sleep is as strong as the drive to breathe, to eat and to reproduce,"" said Dr. Peter Fotinakes, medical director at UCI Medical Center's Sleep Disorders Center. Think about those times when you drove your car on the freeway despite feeling extremely tired. You know that falling asleep at the wheel could cost you your life, yet you were unable to stop yourself from closing your eyes and dozing for a few seconds. How much is enough? Sometimes we don't get enough sleep because we don't realize how much we need. Although eight hours of sleep is the minimum most need, it's not a hard and fast rule. ""Every person's sleep needs are different,"" Fotinakes said. ""You have to listen to your body."" Here's how you can find out how much sleep you need, according to sleep specialist Dr. William Dement in his book ""The Promise of Sleep,"" (Dell Trade, $14.95): Let's say you think you need eight hours. Here's what to do: Pick a time when you think you can fall asleep easily. Set your alarm clock for eight hours and 15 minutes later. The 15 minutes is a rough estimate of the time it will take for you to fall asleep. Follow this routine for several days; observe and record in a sleep diary your level of alertness or sleepiness throughout the day. Keep track of your tendency to fall asleep while watching TV or reading a book. If you find that you are consistently sleepy and tired, you may need more sleep. Add 30 minutes to your sleep time and keep monitoring. If both your tendency to become drowsy and fall asleep declines, this means you are paying off your sleep debt. When your tendency to become drowsy and fall asleep stays the same, the amount of sleep you are getting is what you need or close to it. The price of not getting enough sleep In some circles, being able to get by on little sleep is often misconstrued as a superhuman ability -- something worth bragging about. Somehow, more waking hours translate into more hours for activity, particularly work. But we pay for that lack of sleep, especially at work. ""I need eight hours to feel my best the next day,"" said Chao, the doughnut-shop manager. ""Otherwise, I'm not as alert or quick to respond. I also get a little cranky sometimes."" At least two-thirds of adults say that sleepiness makes concentrating and handling stress on the job more difficult, according to the NSF poll. More than half say that decision-making and problem-solving are more difficult when they are sleepy. They say the quality and quantity of their work are diminished when they are sleepy. The negative effects of sleep debt hit shift workers the hardest, according to the poll. Driving while drowsy can be as hazardous as driving drunk, according to a report in the Journal of the American Medical Association this year. One of Fotinakes' patients, a 19-year old man, fell asleep at the wheel, got into an accident and temporarily lost his license. He was thought to have narcolepsy, a sleep disorder in which people fall asleep at inappropriate times. But after an examination, Fotinakes found that the man had a severe case of sleep debt. ""He had a job, he went to college, he was volunteering at his church,"" Fotinakes said. ""His average day lasted probably 18 hours."" E-mail: lisa_liddane@link.freedom.com Call: (714) 796-7854 'zzzzzzz your Illustration by ANDREW LUCAS The Orange County Register Illustration Caption: HOW SLEEPY ARE YOU? (CHART-LIST)TIPS FOR A GOODNIGHT SLEEP (CHART-LIST) Credit: Story by The Orange County Register  People: Selecky, Paul Chao, Lily Fotinakes, Peter ",2000,"Orange County Register; Santa Ana, Calif."
"12425",12425," Scientists still know very little about what sleep really is, or what it accomplishes on a molecular level. Researchers reported in June that sleep helps rid the brain of a chemical called adenosine that builds up during wakeful hours, but no one knows why adenosine must be eliminated, or what other brain chemicals may contribute to the subjective feelings of sleepiness or mental exhaustion. How much sleep is enough? The answer varies from person to person. ""Some people can get by with 4 1/2 hours, and others really need nine,"" said Ronald Dahl, director of the child and adolescent sleep laboratory at the University of Pittsburgh Medical Center. In addition, people differ in terms of the time of day in which they function best; some have no problem getting up early in the morning, while others are inexplicably but unquestionably night people and look upon dawn with Dracula-like dread. Sleep researchers refer to them as ""larks"" and ""owls."" Keeping those variations in mind, experts said, the following rules are generally true: * Full-term newborns need to sleep about two-thirds of the time, or about 18 hours a day. * Toddlers and young children need about 12 hours a day, some of which may be taken in naps. * Youngsters from about 8 up to the late teens need 8 1/4 to 9 1/4 hours of sleep a night, with older teens generally needing to fall asleep a little later and so needing to sleep a little longer in the morning. * Adults given the opportunity to sleep as much as they want in a laboratory setting that includes 14 hours of darkness each day often take the full 14 hours at first, then scale back, apparently having caught up with overdue sleep. Ultimately, they reach an equilibrium that includes about 8 1/4 hours of sleep each night. * Older adults typically get less sleep than that, perhaps because of an age-related decline in melatonin, the brain hormone that helps induce sleep. But it's not known whether they'd feel better if they got more than that. PHOTO: (Clock) Credit: THE WASHINGTON POST ",1997,"Los Angeles Times; Los Angeles, Calif."
"25053",25053," 愼㸰 Philadelphia -- At 8:30 a.m., a bleary-eyed young woman wearing a bright orange bandanna and fuzzy, gray slippers is staring at a computer screen. When a number appears in a small box, she hits the space bar. She does it again and again, sometimes quickly and other times much more slowly. ""She's very sleepy. She has a lot of lapses,"" whispers Namni Goel, a sleep researcher at the University of Pennsylvania Perelman School of Medicine. The young woman, Amanda Burton, is taking a test of her attention and reaction speed. As a participant in a scientific study at the Sleep and Chronobiology Laboratory here, she has had just four hours of sleep each night for the past five nights. The Penn lab is one of the busiest human sleep research labs in the world. It has deprived more than 1,500 people of sleep over the decades with the goal of figuring out what happens in the bodies and brains of people when they skimp on shut-eye. It is an urgent question. Experts generally recommend that healthy adults sleep between seven and nine hours a night. But about 35% of adults say they typically get less than seven hours, according to a survey of 75,000 people conducted by the Centers for Disease Control and Prevention in 2008. Chronic insufficient sleep has been linked to everything from diabetes and obesity to high blood pressure and an increased risk of death. ""We have to add sleep to this crazy world,"" says David F. Dinges, a professor in the department of psychiatry and the 66-year-old director of the Penn lab. ""And if we can't stop short sleeping, the question is: How do we optimize the ability to tolerate [sleep loss], what are the effects of this and how do we reverse it, stop it and alter it?"" On a recent Monday, Ms. Burton was one of three subjects living in the Penn sleep lab, a small, windowless space with linoleum floors and dim fluorescent lighting. The participants -- who are paid about $2,000 -- won't leave at all during the 14-day study. They can't exercise, use their phones or access the Internet. (Light and physical activity can affect sleep, mood and test performance. So can an argument with a significant other.) The study subjects are hooked up to wires that monitor their brain activity. They sleep -- the few hours they're allowed to -- in hospital beds in double rooms. Meals come from the hospital cafeteria. There's no caffeine, chocolate, nicotine or alcohol allowed. But there are unlimited snacks -- like Kind granola bars and spicy sweet chili Doritos -- available in the small kitchen. They are watched by technicians and ""minders"" (usually undergraduate employees) at all times -- except for bathroom breaks and showers. The monitors make sure study subjects are completing the various study tasks and staying awake when they're supposed to. ""Between 2 and 4 [a.m.] I was dozing off the entire time,"" says Ms. Burton, a 33-year-old administrative assistant from Plainfield, N.J., who is taking time off to participate in her third sleep study at Penn. The monitors ""had to constantly yell my name. 'Amanda, Amanda, hey, are you awake?' "" she says. This particular study of about 100 subjects, which Dr. Goel is leading, aims to see if people respond equally to two different types of sleep deprivation. It compares acute, total sleep loss (going 36 hours without sleep) with chronic sleep deprivation (in this case, just four hours of sleep between 4 a.m. and 8 a.m. for five nights). Preliminary results indicate that the answer is yes, Dr. Goel says. ""There are huge individual differences. [But] if you are resilient to total sleep loss, you are resilient to being chronically sleep-deprived or if you're vulnerable to one, you are vulnerable to the other,"" she says. The study is also looking for genes and other so-called biomarkers -- substances in the blood -- that can predict which people are more vulnerable to the effects of sleep loss. Dr. Goel says the researchers expect to finish the study later this year. About every two hours, the study subjects complete a battery of tests that measure things like attention and reaction time, working memory and how quickly they can process information. They complete questionnaires that ask about mood and how sleepy they feel. Researchers calculate the number of calories they eat. In earlier studies, the Penn lab and others have found that attention, reaction time and cognitive speed tend to be particularly affected by sleep loss. This is a big problem for driving. Higher cognitive functions, like reasoning, tend to be less affected. Mood plummets: People interpret even neutral facial expressions as more negative. Sleep-deprived subjects also eat more and gain weight: In Penn studies, they eat about 500 extra calories a day, veer toward fat-laden foods and gain about 2 pounds in a week. Most Penn sleep-deprivation studies include a control group that lives in the same environment and does the same testing protocol, but doesn't lose any sleep. But not everyone tolerates sleep loss the same: In general about one-third of people are resistant to the effects of sleep loss, one-third are vulnerable and one-third are somewhere in the middle, Dr. Dinges says. Ms. Burton seems to fall into the vulnerable group, Dr. Goel says. On the test where she had to hit the space bar when the number appeared, dubbed the psychomotor vigilance test or PVT, it took Ms. Burton sometimes as long as 2 seconds to react accurately. By contrast, another subject, Daniel Dougherty, usually took less than 300 milliseconds to respond. A typical, well-rested person would need about 250 milliseconds. Other studies have shown that most people aren't good judges of how sleepy -- and how impaired -- they are. ""I was like, that will be a breeze,"" says Mr. Dougherty, a 32-year-old from Goldsboro, Md., of what he expected the study to be like. ""But it is actually kind of hard. Just feeling tired and wanting to go to sleep but you can't."" Mr. Doughtery is changing careers and plans to use the sleep study money to repair his 15 year-old car. Between tests the study subjects read, watch TV and play board games. There's an entire bookcase filled with games like Monopoly, Sorry and Pictionary. They binge-watch shows on Netflix. Ms. Burton got through five seasons of ""Portlandia."" Mr. Dougherty was plowing through ""Narcos"" episodes. Researchers decided that TV-watching would be acceptable because the subjects sit far enough from the televisions that the light emitted wouldn't interfere with the results. The study is being funded by the Office of Naval Research. Dr. Dinges has also just completed a study looking at how long it takes to recover from sleep deprivation. In earlier studies, it seemed to only take a few days of regular shut-eye for people to recover from sleep loss and perform like they were well-rested. But this new study seems to refute that. People might seem fine, but if they lose sleep again, their performance plummets more than expected. ""There's a memory in this biology,"" Dr. Dinges says. ""They are carrying a vulnerability."" If the results hold up and are replicated, he says, the days of human sleep-deprivation studies might be numbered. ""If I can't reverse what I've induced, then these experiments are no longer ethical,"" he says. ""I've got to stop doing this."" Credit: By Andrea Petersen ",2015,"Wall Street Journal, Eastern edition; New York, N.Y."
"21401",21401," 愼㸰 Americans who log long hours on the job find the time for leisure and other activities by cutting down on sleep, a study reports today. ""We only have 24 hours in a day,"" says Mathias Basner, a researcher at the University of Pennsylvania School of Medicine. His study of 47,731 Americans found that people who worked more simply got up earlier or went to bed later -- a practice that puts them at risk of sleep deprivation. Time spent at work is the single biggest determinant of how much sleep Americans got on a typical day, according to the study in the Sept. 1 issue of the journal Sleep. But travel time, including time sitting in traffic on the way to work, comes in second place, Basner says. ""You could argue there's a hidden cost to living in suburbia,"" says Gregory Belenky, director of the Sleep and Performance Research Center at Washington State University in Spokane. People who live in sprawling urban areas often make a long workday even longer when they try to run errands on clogged roads, he says. Basner says sleep deprivation has been linked to a number of serious health problems, including obesity. People who are chronically sleep-deprived also can experience attention lapses, memory loss and other difficulties that can impair performance on the job, says James Walsh, executive director of the sleep medicine and research center at St. Luke's Hospital in St. Louis. And fatigue can add an element of danger to an already stressful commute. ""If you're only sleeping five hours a night, you're at risk of falling asleep at the wheel,"" Walsh says. The National Sleep Foundation estimates that sleep-deprived drivers cause more than 100,000 automobile crashes a year and more than 1,500 deaths. Basner's team analyzed the results of a federal survey conducted in 2003 through 2005. People were asked to account for their time over a 24-hour period. The survey suggests that people who cut back on sleep on weekdays often try to sleep in on Saturday and Sunday. But people who cut back on sleep night after night might never catch up, Walsh says. Surveys suggest Americans get about 6 1/2 hours of sleep a night - - about an hour less than the average in the 1950s, he says. Today, many adults extend their workdays by using cellphones to check e- mail messages. A second study in Sleep suggests that teens who use cellphones after lights out can have daytime sleepiness. The teens in this study lived in Europe, but teens in the USA also use cellphones to text-message and chat with friends at all hours, says Amy Wolfson of the National Sleep Foundation. ""We're living in a 24/7 culture, and teens are mimicking adults,"" she says. Says Walsh: ""People feel that sleep is negotiable."" Yet studies suggest that most adults need from seven to eight hours of sleep a night, and teens need nine hours or more in order to do their best during the day, he says. TEXT OF INFO BOX BEGINS HERE How much is enough? A study finds that how much people sleep has a lot to do with their workday. 7 to 8 hours Recommended amount of sleep a night 4 1/2 hours or less Average amount of sleep for people deemed short sleepers, who work 93 minutes longer per weekday than typical sleepers 11 1/2 hours or more Average amount of sleep for people considered long sleepers, who work 143 minutes less per weekday Source: Study by Mathias Basner at the University of Pennsylvania in the Sept. 1 issue of Sleep. ",2007,"USA TODAY; McLean, Va."
"20024",20024," America is raising a nation of sleep-deprived kids, with only 20 percent getting the recommended nine hours of shuteye on school nights and more than 1 in 4 reporting dozing off in class. Many are arriving late to school because of oversleeping and others are driving drowsy, according to a poll released Tuesday by the National Sleep Foundation. ""In the competition between the natural tendency to stay up late and early school start times, a teen's sleep is what loses out,"" said Jodi Mindell of St. Joseph's University in Philadelphia. ""Sending students to school without enough sleep is like sending them to school without breakfast,"" said Mindell, associate director of the Sleep Center at The Children's Hospital of Philadelphia. School-age children and teenagers should get at least nine hours of sleep a day, according to the National Center on Sleep Disorders Research at the National Institutes of Health. The poll found that 6th graders were sleeping an average of 8.4 hours on school nights and 12th graders just 6.9 hours. Without enough sleep, a person has trouble focusing and responding quickly, according to the NIH. The poll, taken in November, interviewed 1,602 adult caregivers and their children age 11 to 17. It had a margin of error of 2.4 percentage points. Among the findings: 28 percent of high school students said they fell asleep in class at least once a week. Four-fifths of students who get the recommended amount of sleep are achieving A's and B's in school. According to the NIH, sleep needs vary from person to person and change throughout life. For example, children in preschool sleep between 10 hours and 12 hours a day; school-age children and teenagers should get at least nine hours of sleep a day. Adults should get seven hours to eight hours of sleep each day. The National Sleep Foundation describes itself as an independent non-profit organization. It is funded by memberships, sales of educational materials, advertising, investment income, donations, subscriptions, and educational grants from foundations, federal agencies and corporations, including pharmaceutical companies. ",2006,"Chicago Tribune; Chicago, Ill."
"14378",14378," ''You must sleep sometime between lunch and dinner, and no halfway measures. Take off your clothes and get into bed. That's what I always do. Don't think you will be doing less work because you sleep during the day. That's a foolish notion held by people who have no imaginations. You will be able to accomplish more. You get two days in one -- well, at least one and a half.''Winston Churchill  As a short sleeper who is rarely in bed for more than six hours a night, I'm a strong believer in naps for recharging my batteries. Sir Winston and I are in good company. Napping enthusiasts have included Albert Einstein, Napoleon Bonaparte, Thomas Edison and at least three presidents: John F. Kennedy, Ronald Reagan and Bill Clinton. Besides, sleep researchers have shown that regardless of how long one sleeps at night, the human body is programmed to become sleepy in the early afternoon, even without a big lunch. ''Napping should not be frowned upon at the office or make you feel guilty at home,'' writes Dr. James B. Maas, a psychologist and sleep expert at Cornell. ''It should have the status of daily exercise.'' In the old days, people would doze for an hour or so after the midday meal, and in some Latin American and European countries siestas are still in vogue. But in most industrialized nations, the usual response to the afternoon sag in energy is to try to jump-start the system with caffeine, a tactic that sleep experts say is actually counterproductive, creating only the illusion of efficiency and alertness and depriving the body and brain of much-needed sleep. How Naps Help Now, however, there is growing evidence that restorative naps are making a comeback. Recognizing that most of their employees are chronically sleep-deprived, some companies have set up nap rooms with reclining chairs, blankets and alarm clocks. If unions are truly interested in worker welfare, they should make such accommodations a standard item in contract negotiations. Workers who take advantage of the opportunity to sleep for 20 minutes or so during the workday report that they can then go back to work with renewed enthusiasm and energy. My college roommate, Dr. Linda Himot, a psychiatrist in Pittsburgh, who has a talent for 10-minute catnaps between patients, says these respites help her focus better on each patient's problems, which are not always scintillating. And companies that encourage napping report that it reduces accidents and errors and increases productivity, even if it shortens the workday a bit. Studies have shown that sleepy workers make more mistakes and cause more accidents, and are more susceptible to heart attacks and gastrointestinal disorders. A NASA scientist's study showed that 24-minute naps significantly improved a pilot's alertness and performance on trans-Atlantic flights. (The co-pilot remained awake.) Dr. David Dinges, a sleep researcher at the University of Pennsylvania, is a strong advocate of prophylactic napping -- taking what he and others call a ''power nap'' during the day to head off the cumulative effects of sleep loss. He explained that the brain ''sort of sputters'' when it is deprived of sufficient sleep, causing slips in performance and attentiveness and often resulting in ''microsleeps'' -- involuntary lapses into sleep, in which accidents can occur. A brief afternoon nap typically leaves people feeling more energized than if they had tried to muddle through without sleeping. Studies have shown that the brain is more active in people who nap than in those who don't sleep during the day. Dr. Maas, the Cornell psychologist and author of ''Power Sleep'' (Villard Books, 1998), points out that naps ''greatly strengthen the ability to pay close attention to details and to make critical decisions.'' He also states that ''naps taken about eight hours after you wake have been proved to do much more for you than if you added those 20 minutes onto already adequate nocturnal sleep.'' There are two kinds of naps: brief ones taken to revive the brain and long ones taken to compensate for significant sleep loss. The reviving workday nap should not be longer than 30 minutes; any more and the body lapses into a deep sleep, from which it is difficult to awake. How and When to Nap Long naps help when you've accumulated a considerable sleep debt -- for example, when the previous night's sleep was much shorter than usual, or when you know you will have to be alert and awake considerably later than your usual bedtime. I usually try to nap for an hour or more before attending a play, concert or late party. But long naps have a temporary disadvantage: they cause what researchers call sleep inertia, a grogginess upon awakening that can last about half an hour. Also, long naps can affect the body's clock, making it more difficult to wake up at the proper time in the morning. As Dr. Maas maintains, ''Brief naps taken daily are far healthier than sleeping in or taking very long naps on the weekend.'' They are also far better than caffeine as a pick-me-up. ''Consumption of caffeine will be followed by feelings of lethargy and reduced R.E.M. (or dream) sleep that night,'' Dr. Maas writes. ''A debt in your sleep bank account is not reduced by artificial stimulants.'' He suggests that naps be scheduled for midday because late-afternoon naps can cause a shift in your biological clock, making it harder to fall asleep at night and get up the next morning. To keep naps short -- 15 to 30 minutes, set an alarm clock or timer. Westclox makes a gadget called Napmate, a power-nap alarm clock that has a one-button preset so you can program your nap to last for a specific number of minutes. If you can lie down on a couch or bed, all the better. If not, use a reclining chair. You need not follow Churchill's advice to get undressed, but make yourself as comfortable as possible. Lap robes are very popular and inexpensive; if a blanket helps you to doze off, use one. Try to take your nap about the same time each day. Dr. Maas recommends a nap eight hours after you wake up (in the middle of your day, about eight hours before you go to bed at night). Even on days when you don't feel particularly sleepy, he suggests taking a rest rather than a coffee break at your usual nap time. There are special cases. People who have trouble falling asleep at night might be wise to avoid daytime naps. Parents of newborns should nap when the baby does, rather than using all the baby's sleep time to do chores. Finally, naps are often essential for people trying to work through illness, injury or chemotherapy, even if they get adequate sleep at night. A woman I know who continued working while receiving cancer therapy napped each day on the floor under her desk. Like so many workplaces, hers had no suitable place to rest. Illustration Drawing (James Yang) ",2000,"New York Times, Late Edition (East Coast); New York, N.Y."
"9458",9458," One friend tells me he needs at least eight hours of sleep each night to avoid feeling ""dead tired"" the next day. Another says that if she gets more than six hours a night she wakes up ""feeling like a lead balloon."" How do you know how much sleep is the right amount, and how can you adjust your sleep schedule if you fail to get enough sleep now and then, or night after night? Researchers have a fancy way of judging how sleepy a person is at various times of the day and night. Called the multiple sleep-latency test, it involves an assessment in a sleep lab of how long it takes a person to fall asleep at two-hour intervals. Such studies show that people generally have two especially sleepy times: at what most people think of as bedtime, around 10 p.m. to midnight, and in midafternoon, around 2 to 4 p.m. They also show that a fully rested person will not fall asleep within 20 minutes at any test session during the day, whereas a sleep-deprived person will fall asleep in three or four minutes at every session, just as do people with the sleep disorders narcolepsy and sleep apnea. And when people who are sleep-deprived live in a sleep laboratory, without any cues about day and night or alarm to arouse them, they will often sleep for as many as 16 out of every 24 hours for days on end until they ""catch up"" on lost sleep and gradually revert to a more normal sleep period of about eight hours. Dr. James Maas, a psychology professor and sleep researcher at Cornell University, suggests this self-test: ""If a warm room, heavy meal, boring lecture or meeting or a low dose of alcohol make you drowsy, you are sleep-deprived. A well-rested person will become bored, annoyed, restless or fidgety, but not sleepy, under such circumstances."" Furthermore, he said, on going to bed at night, a well-rested person will take 10 to 15 minutes to fall asleep, but a sleep-deprived person will fall asleep within a few minutes. Experts estimate that 100 million Americans maintain a serious sleep debt by failing, night after night, to get enough sleep. They also say that most sleep-deprived people do not realize just how prone they really are to falling asleep at the drop of a hat. In a study by Dr. Thomas Roth at Henry Ford Hospital in Detroit, 100 young adults were given a multiple sleep-latency test. Thirty-four percent of those who said they never got sleepy during the day performed like a person with sleep apnea. Maas, who produced ""Sleep Alert,"" a film on sleep deprivation for public television, gives these guidelines for good sleep hygiene: - Know how much sleep you need. Most people get only seven hours of sleep each night but need eight to eight and a half hours. If you are sleepy during the day, you are not sleeping enough at night. - Try to sleep in a continuous block. People need a long period of consolidated sleep; sleep broken by frequent awakenings leaves people unrested no matter how long they spend in bed. - Go to sleep at the same time every night and wake up at the same time each morning. ""You should never need an alarm clock to wake up,"" Maas insists, unless, of course, you have to catch a very early flight. And trying to catch up on sleep by sleeping late the next morning merely messes up your body's normal sleep-wake rhythm. - Remember that sleep loss is cumulative. ""If you take sleep out of the bank for one or two nights, be sure to pay it back as soon as possible so that your week's sleep total is always stable,"" Maas said. - Get daily physical exercise, which results in more restful deep sleep and also decreases your total sleep need a little. But Maas cautioned against exercising within three hours of bedtime, because exercise increases alertness and inhibits the ability to fall asleep. He said the best time to exercise to induce restful sleep was between noon and 6 p.m. If you have frequent or periodic insomnia, as one-third of people do on any given night, take a hot bath before bed, read a book for pleasure, write your worries down and leave your notes on the nightstand, and be sure your bedroom is quiet, dark and cool. Do not use caffeine or other stimulants to counter midday sleepiness. Although stimulants produce momentary feelings of alertness, they rob people of restful REM, or dream, sleep at night. To readjust a sleep schedule that is causing a chronic sleep debt, start going to bed 15 to 20 minutes earlier each week. It may take six or eight weeks to reschedule your bedtime so that you avoid daytime sleepiness. Instead of a coffee break or as part of your lunch hour, Maas suggests a ""nap break."" He said, ""A 15- to 20-minute nap will increase alertness, productivity and creativity."" In anticipation of a late night or short night, take a nap beforehand to help prevent sleepiness the next day. Illustration PHOTO; Caption: PHOTO: A well-rested person requires from 10 to 15 minutes to fall asleep. Tribune file photo. ",1994,"Chicago Tribune (pre-1997 Fulltext); Chicago, Ill."
"15175",15175," Q.: Why am I so sleepy and drowsy after lunch? It makes it hard to concentrate. A.: There are three likely explanations, based on recent research. First, what do you eat -- and drink? A lunch high in carbohydrates, especially if no protein is eaten along with bread and milk, is likely to produce calm to the point of sleepiness, because of the complex role of carbohydrates in shifting the balance of neurotransmitters in the brain. Conversely, some protein contributes to alertness. A three-martini lunch also induces sleepiness. Second, as siesta-loving societies have long recognized, sleep researchers have found that there is an inborn readiness in human beings to take a midafternoon nap. Volunteers isolated from all evidence of day and night and left to set their own sleep patterns tended to settle into one long sleep session and a session of 1 or 2 hours about 12 hours after the middle of the main period. Third, you may be sleep-deprived. While the average adult needs eight to nine hours of sleep a night, most get only seven, and many get six or less during the workweek. People permitted to sleep as much as they choose sleep 10.3 hours out of every 24, just as monkeys and apes do. An afternoon nap may be just what nature ordered to restore alertness. C. CLAIBORNE RAY Readers are invited to submit questions by mail to Question, Science Times, The New York Times, 229 West 43rd Street, New York, N.Y. 10036-3959, or by e-mail to question@nytimes.com.Questions of general interest will be answered in this column, but unpublished letters cannot be answered individually.  Illustration Drawing (Victoria Roberts) ",2000,"New York Times, Late Edition (East Coast); New York, N.Y."
